l_all,lat,lon
"Mirandela ,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"La Tebaida,Quindío,Colombia",4.430314,-75.810404
"Parque Central Bavaria,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.0,-74.16667
"Pinar De Suba,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Jardín,Antioquia,Colombia",5.59902,-75.81976
"Villanueva,Casanare,Colombia",5.28333,-71.96667
"El Rosal,Cundinamarca,Colombia",4.85314,-74.25996
"Prado,Tolima,Colombia",3.372527,-75.587282
"Zona Franca,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",11.670234,-70.200271
"20 De Julio,Antonio Nariño,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",1.227745,-77.284524
"Valle del Cauca,Colombia",3.679421,-76.378822
